,word1,word2,Similarity Score,Ground Truth similarity score,Label
0,मोहब्बत,सेक्स,2.91,6.8,0
1,बाघ,बिल्ली,4.95,7.0,0
2,किताब,कागज़,4.98,7.6,0
3,कंप्यूटर,कीबोर्ड,7.11,7.6,0
4,कंप्यूटर,इंटरनेट,7.58,8.0,0
5,विमान,कार,5.67,6.0,0
6,रेलगाड़ी,कार,6.38,6.2,0
7,टेलीफोन,संचार,3.90,7.6,0
8,टेलीविजन,रेडियो,7.58,6.4,0
9,मीडिया,रेडियो,3.86,5.8,0
10,ब्रेड,मक्खन,7.41,6.6,0
11,खीरा,आलू,7.61,5.8,0
12,चिकित्सक,नर्स,6.82,7.6,0
13,प्रोफ़ेसर,चिकित्सक,4.18,4.6,0
14,छात्र,प्रोफ़ेसर,4.12,7.0,0
15,होशियार,छात्र,0.96,5.2,0
16,होशियार,बेवकूफ,5.67,6.2,0
17,किताब,पुस्तकालय,2.72,7.6,0
18,बैंक,पैसे,3.72,8.0,0
19,लकड़ी,जंगल,4.95,7.0,0
20,प्रोफ़ेसर,खीरा,0.19,0.0,0
21,राजा,रानी,6.20,8.2,0
22,बिशप,रबी,-0.79,7.0,0
23,यरूशलेम,इजराइल,4.77,7.8,0
24,पवित्र,सेक्स,0.92,1.0,0
25,माराडोना,फ़ुटबॉल,6.65,7.8,0
26,फ़ुटबॉल,सॉकर,8.33,9.0,1
27,फ़ुटबॉल,बास्केटबाल,7.29,6.4,0
28,फ़ुटबॉल,टेनिस,7.29,5.8,0
29,टेनिस,रैकेट,2.69,7.4,0
30,कानून,वकील,3.46,7.8,0
31,चलचित्र,पॉपकॉर्न,1.84,6.6,0
32,चलचित्र,आलोचक,2.25,6.6,0
33,चलचित्र,थिएटर,4.25,8.4,0
34,पीना,कार,0.06,1.4,0
35,पीना,कान,0.86,0.4,0
36,पीना,मुंह,1.89,7.0,0
37,बच्चा,मां,4.88,7.2,0
38,पीना,मां,1.71,1.8,0
39,मणि,गहना,2.91,6.8,0
40,भट्ठी,स्टोव,7.09,8.4,0
41,भोजन,फल,5.58,6.6,0
42,पक्षी,सारस,8.30,7.4,1
43,भाई,साधु,1.96,1.4,0
44,यात्रा,कार,3.09,6.2,0
45,साधु,गुलाम,1.82,0.2,0
46,कांच,जादूगर,2.56,2.0,0
47,पैसे,मुद्रा,2.17,8.6,0
48,पैसे,धन,6.09,9.2,0
49,पैसे,संपत्ति,4.11,8.4,0
50,पैसे,बैंक,3.72,8.2,0
51,पैसे,जमा,3.57,6.6,0
52,पैसे,ऑपरेशन,0.94,2.6,0
53,बाघ,जैगुआर,2.12,8.0,0
54,बाघ,जानवर,6.61,7.6,0
55,बाघ,चिड़ियाघर,5.78,6.8,0
56,मनोविज्ञान,चिंता,1.36,6.2,0
57,मनोविज्ञान,डर,-0.82,5.2,0
58,मनोविज्ञान,डिप्रेशन,2.80,7.0,0
59,मनोविज्ञान,क्लिनिक,2.26,6.4,0
60,मनोविज्ञान,चिकित्सक,3.82,7.0,0
61,मनोविज्ञान,मन,2.05,7.4,0
62,मनोविज्ञान,स्वास्थ्य,3.80,6.2,0
63,मनोविज्ञान,विज्ञान,7.58,7.0,0
64,मनोविज्ञान,अनुशासन,4.58,4.2,0

Accuracy = 0.83
