,word1,word2,Similarity Score,Ground Truth similarity score,Label
0,मोहब्बत,सेक्स,3.37,6.8,0
1,बाघ,बिल्ली,6.47,7.0,0
2,किताब,कागज़,5.34,7.6,0
3,कंप्यूटर,कीबोर्ड,6.91,7.6,0
4,कंप्यूटर,इंटरनेट,7.12,8.0,0
5,विमान,कार,6.27,6.0,0
6,रेलगाड़ी,कार,6.11,6.2,0
7,टेलीफोन,संचार,5.81,7.6,0
8,टेलीविजन,रेडियो,7.58,6.4,0
9,मीडिया,रेडियो,5.31,5.8,0
10,ब्रेड,मक्खन,7.22,6.6,0
11,खीरा,आलू,8.32,5.8,1
12,चिकित्सक,नर्स,7.00,7.6,0
13,प्रोफ़ेसर,चिकित्सक,5.45,4.6,0
14,छात्र,प्रोफ़ेसर,5.06,7.0,0
15,होशियार,छात्र,3.82,5.2,0
16,होशियार,बेवकूफ,5.93,6.2,0
17,किताब,पुस्तकालय,4.70,7.6,0
18,बैंक,पैसे,4.91,8.0,0
19,लकड़ी,जंगल,5.47,7.0,0
20,प्रोफ़ेसर,खीरा,1.21,0.0,0
21,राजा,रानी,7.05,8.2,0
22,बिशप,रबी,1.47,7.0,0
23,यरूशलेम,इजराइल,5.27,7.8,0
24,पवित्र,सेक्स,2.62,1.0,0
25,माराडोना,फ़ुटबॉल,6.90,7.8,0
26,फ़ुटबॉल,सॉकर,8.44,9.0,1
27,फ़ुटबॉल,बास्केटबाल,7.39,6.4,0
28,फ़ुटबॉल,टेनिस,7.51,5.8,0
29,टेनिस,रैकेट,5.26,7.4,0
30,कानून,वकील,4.94,7.8,0
31,चलचित्र,पॉपकॉर्न,4.10,6.6,0
32,चलचित्र,आलोचक,3.00,6.6,0
33,चलचित्र,थिएटर,5.00,8.4,0
34,पीना,कार,3.18,1.4,0
35,पीना,कान,3.39,0.4,0
36,पीना,मुंह,4.14,7.0,0
37,बच्चा,मां,5.51,7.2,0
38,पीना,मां,2.79,1.8,0
39,मणि,गहना,4.02,6.8,0
40,भट्ठी,स्टोव,7.02,8.4,0
41,भोजन,फल,5.98,6.6,0
42,पक्षी,सारस,8.54,7.4,1
43,भाई,साधु,2.83,1.4,0
44,यात्रा,कार,4.20,6.2,0
45,साधु,गुलाम,2.48,0.2,0
46,कांच,जादूगर,3.68,2.0,0
47,पैसे,मुद्रा,4.15,8.6,0
48,पैसे,धन,5.87,9.2,0
49,पैसे,संपत्ति,5.08,8.4,0
50,पैसे,बैंक,4.91,8.2,0
51,पैसे,जमा,4.82,6.6,0
52,पैसे,ऑपरेशन,3.39,2.6,0
53,बाघ,जैगुआर,4.78,8.0,0
54,बाघ,जानवर,7.23,7.6,0
55,बाघ,चिड़ियाघर,7.05,6.8,0
56,मनोविज्ञान,चिंता,3.48,6.2,0
57,मनोविज्ञान,डर,2.02,5.2,0
58,मनोविज्ञान,डिप्रेशन,4.42,7.0,0
59,मनोविज्ञान,क्लिनिक,4.65,6.4,0
60,मनोविज्ञान,चिकित्सक,5.24,7.0,0
61,मनोविज्ञान,मन,3.91,7.4,0
62,मनोविज्ञान,स्वास्थ्य,5.23,6.2,0
63,मनोविज्ञान,विज्ञान,8.08,7.0,1
64,मनोविज्ञान,अनुशासन,5.24,4.2,0

Accuracy = 0.80
