,word1,word2,Similarity Score,Ground Truth similarity score,Label
0,मोहब्बत,सेक्स,4.33,6.8,0
1,बाघ,बिल्ली,6.00,7.0,0
2,किताब,कागज़,6.41,7.6,0
3,कंप्यूटर,कीबोर्ड,6.32,7.6,0
4,कंप्यूटर,इंटरनेट,7.98,8.0,1
5,विमान,कार,7.17,6.0,1
6,रेलगाड़ी,कार,6.55,6.2,0
7,टेलीफोन,संचार,5.79,7.6,0
8,टेलीविजन,रेडियो,7.84,6.4,1
9,मीडिया,रेडियो,6.53,5.8,0
10,ब्रेड,मक्खन,6.94,6.6,0
11,खीरा,आलू,6.76,5.8,0
12,चिकित्सक,नर्स,7.42,7.6,1
13,प्रोफ़ेसर,चिकित्सक,5.71,4.6,0
14,छात्र,प्रोफ़ेसर,5.27,7.0,0
15,होशियार,छात्र,4.58,5.2,0
16,होशियार,बेवकूफ,6.33,6.2,0
17,किताब,पुस्तकालय,4.83,7.6,0
18,बैंक,पैसे,6.67,8.0,0
19,लकड़ी,जंगल,6.44,7.0,0
20,प्रोफ़ेसर,खीरा,-0.11,0.0,0
21,राजा,रानी,7.50,8.2,1
22,बिशप,रबी,0.77,7.0,0
23,यरूशलेम,इजराइल,5.48,7.8,0
24,पवित्र,सेक्स,4.16,1.0,0
25,माराडोना,फ़ुटबॉल,4.08,7.8,0
26,फ़ुटबॉल,सॉकर,7.99,9.0,1
27,फ़ुटबॉल,बास्केटबाल,6.70,6.4,0
28,फ़ुटबॉल,टेनिस,6.75,5.8,0
29,टेनिस,रैकेट,4.49,7.4,0
30,कानून,वकील,6.45,7.8,0
31,चलचित्र,पॉपकॉर्न,1.62,6.6,0
32,चलचित्र,आलोचक,4.13,6.6,0
33,चलचित्र,थिएटर,5.34,8.4,0
34,पीना,कार,2.47,1.4,0
35,पीना,कान,4.38,0.4,0
36,पीना,मुंह,4.65,7.0,0
37,बच्चा,मां,7.31,7.2,1
38,पीना,मां,4.23,1.8,0
39,मणि,गहना,3.51,6.8,0
40,भट्ठी,स्टोव,6.33,8.4,0
41,भोजन,फल,7.65,6.6,1
42,पक्षी,सारस,7.73,7.4,1
43,भाई,साधु,4.92,1.4,0
44,यात्रा,कार,5.76,6.2,0
45,साधु,गुलाम,3.34,0.2,0
46,कांच,जादूगर,3.33,2.0,0
47,पैसे,मुद्रा,6.12,8.6,0
48,पैसे,धन,7.88,9.2,1
49,पैसे,संपत्ति,6.88,8.4,0
50,पैसे,बैंक,6.67,8.2,0
51,पैसे,जमा,7.14,6.6,1
52,पैसे,ऑपरेशन,3.54,2.6,0
53,बाघ,जैगुआर,2.74,8.0,0
54,बाघ,जानवर,7.75,7.6,1
55,बाघ,चिड़ियाघर,6.41,6.8,0
56,मनोविज्ञान,चिंता,4.37,6.2,0
57,मनोविज्ञान,डर,3.30,5.2,0
58,मनोविज्ञान,डिप्रेशन,4.42,7.0,0
59,मनोविज्ञान,क्लिनिक,4.53,6.4,0
60,मनोविज्ञान,चिकित्सक,6.01,7.0,0
61,मनोविज्ञान,मन,3.81,7.4,0
62,मनोविज्ञान,स्वास्थ्य,5.97,6.2,0
63,मनोविज्ञान,विज्ञान,8.30,7.0,1
64,मनोविज्ञान,अनुशासन,6.14,4.2,0

Accuracy = 0.58
