,word1,word2,Similarity Score,Ground Truth similarity score,Label
0,मोहब्बत,सेक्स,3.89,6.8,0
1,बाघ,बिल्ली,6.25,7.0,0
2,किताब,कागज़,5.76,7.6,0
3,कंप्यूटर,कीबोर्ड,6.72,7.6,0
4,कंप्यूटर,इंटरनेट,7.18,8.0,1
5,विमान,कार,6.39,6.0,0
6,रेलगाड़ी,कार,6.65,6.2,0
7,टेलीफोन,संचार,5.48,7.6,0
8,टेलीविजन,रेडियो,7.47,6.4,1
9,मीडिया,रेडियो,5.54,5.8,0
10,ब्रेड,मक्खन,7.31,6.6,1
11,खीरा,आलू,8.27,5.8,1
12,चिकित्सक,नर्स,7.02,7.6,1
13,प्रोफ़ेसर,चिकित्सक,5.32,4.6,0
14,छात्र,प्रोफ़ेसर,4.93,7.0,0
15,होशियार,छात्र,3.72,5.2,0
16,होशियार,बेवकूफ,6.19,6.2,0
17,किताब,पुस्तकालय,4.46,7.6,0
18,बैंक,पैसे,4.85,8.0,0
19,लकड़ी,जंगल,5.29,7.0,0
20,प्रोफ़ेसर,खीरा,0.86,0.0,0
21,राजा,रानी,6.69,8.2,0
22,बिशप,रबी,0.83,7.0,0
23,यरूशलेम,इजराइल,4.98,7.8,0
24,पवित्र,सेक्स,2.43,1.0,0
25,माराडोना,फ़ुटबॉल,6.93,7.8,0
26,फ़ुटबॉल,सॉकर,8.43,9.0,1
27,फ़ुटबॉल,बास्केटबाल,7.25,6.4,1
28,फ़ुटबॉल,टेनिस,7.42,5.8,1
29,टेनिस,रैकेट,4.97,7.4,0
30,कानून,वकील,5.36,7.8,0
31,चलचित्र,पॉपकॉर्न,4.02,6.6,0
32,चलचित्र,आलोचक,3.19,6.6,0
33,चलचित्र,थिएटर,4.82,8.4,0
34,पीना,कार,2.04,1.4,0
35,पीना,कान,3.18,0.4,0
36,पीना,मुंह,4.27,7.0,0
37,बच्चा,मां,5.70,7.2,0
38,पीना,मां,2.38,1.8,0
39,मणि,गहना,3.88,6.8,0
40,भट्ठी,स्टोव,7.11,8.4,1
41,भोजन,फल,5.90,6.6,0
42,पक्षी,सारस,8.24,7.4,1
43,भाई,साधु,3.16,1.4,0
44,यात्रा,कार,4.36,6.2,0
45,साधु,गुलाम,2.95,0.2,0
46,कांच,जादूगर,3.54,2.0,0
47,पैसे,मुद्रा,4.17,8.6,0
48,पैसे,धन,6.51,9.2,0
49,पैसे,संपत्ति,5.55,8.4,0
50,पैसे,बैंक,4.85,8.2,0
51,पैसे,जमा,4.88,6.6,0
52,पैसे,ऑपरेशन,2.78,2.6,0
53,बाघ,जैगुआर,4.78,8.0,0
54,बाघ,जानवर,7.27,7.6,1
55,बाघ,चिड़ियाघर,6.86,6.8,0
56,मनोविज्ञान,चिंता,3.54,6.2,0
57,मनोविज्ञान,डर,2.21,5.2,0
58,मनोविज्ञान,डिप्रेशन,4.02,7.0,0
59,मनोविज्ञान,क्लिनिक,4.53,6.4,0
60,मनोविज्ञान,चिकित्सक,5.11,7.0,0
61,मनोविज्ञान,मन,4.02,7.4,0
62,मनोविज्ञान,स्वास्थ्य,5.20,6.2,0
63,मनोविज्ञान,विज्ञान,7.95,7.0,1
64,मनोविज्ञान,अनुशासन,5.46,4.2,0

Accuracy = 0.54
